06:56,07:56,08:56,09:56,10:56,11:56,12:56,13:56,14:56,15:56,16:56,17:56,18:56,19:52,20:52,21:52
06:57,07:57,08:57,09:57,10:57,11:57,12:57,13:57,14:57,15:57,16:57,17:57,18:57,19:53,20:53,21:53
06:58,07:58,08:58,09:58,10:58,11:58,12:58,13:58,14:58,15:58,16:58,17:58,18:58,19:54,20:54,21:54
06:58,07:58,08:58,09:59,10:59,11:59,12:59,13:59,14:59,15:59,16:59,17:59,18:59,19:55,20:55,21:55
06:59,07:59,08:59,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:01,19:57,20:57,21:57
07:03,08:03,09:03,10:04,11:04,12:04,13:04,14:04,15:03,16:03,17:03,18:03,19:04,20:01,21:01,22:01
07:04,08:04,09:04,10:05,11:05,12:05,13:05,14:05,15:04,16:04,17:04,18:04,19:05,20:02,21:02,22:02
07:06,08:06,09:06,10:06,11:06,12:06,13:06,14:06,15:05,16:06,17:06,18:06,19:06,20:02,21:02,22:02
07:08,08:08,09:08,10:08,11:08,12:08,13:08,14:08,15:07,16:08,17:08,18:08,19:08,20:03,21:03,22:03
07:10,08:10,09:10,10:10,11:10,12:10,13:10,14:10,15:09,16:10,17:10,18:10,19:10,20:05,21:05,22:05
07:13,08:13,09:13,10:13,11:13,12:13,13:13,14:13,15:12,16:13,17:13,18:13,19:13,20:07,21:07,22:07
07:16,08:16,09:16,10:16,11:16,12:16,13:16,14:16,15:15,16:16,17:16,18:16,19:16,20:10,21:10,22:10
