06:58,07:58,08:58,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:56,15:26,15:54,16:24,16:54,17:24,17:54,18:24,18:57,19:27,20:17,21:17
06:59,07:59,08:59,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:29,13:59,14:29,14:57,15:27,15:55,16:25,16:55,17:25,17:55,18:25,18:58,19:28,20:18,21:18
07:00,08:00,09:00,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:30,14:58,15:29,15:57,16:27,16:57,17:27,17:57,18:27,19:00,19:30,20:20,21:20
07:01,08:01,09:01,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:31,14:59,15:30,15:58,16:28,16:58,17:28,17:58,18:28,19:01,19:31,20:21,21:21
07:02,08:02,09:02,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:32,15:00,15:32,16:00,16:30,17:00,17:30,18:00,18:29,19:02,19:32,20:22,21:22
07:05,08:05,09:05,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:35,15:03,15:35,16:03,16:33,17:03,17:33,18:03,18:32,19:05,19:35,20:25,21:25
07:06,08:06,09:06,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:36,15:04,15:36,16:04,16:34,17:04,17:34,18:04,18:33,19:06,19:36,20:26,21:26
07:08,08:08,09:08,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:38,15:06,15:37,16:05,16:35,17:05,17:35,18:05,18:35,19:08,19:38,20:28,21:28
07:09,08:09,09:09,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:12,14:40,15:08,15:38,16:06,16:36,17:06,17:36,18:06,18:36,19:09,19:39,20:29,21:29
07:10,08:10,09:10,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:42,15:10,15:40,16:08,16:38,17:08,17:38,18:08,18:38,19:11,19:41,20:31,21:31
07:14,08:14,09:14,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:45,15:13,15:43,16:11,16:41,17:11,17:41,18:11,18:41,19:14,19:44,20:34,21:34
07:17,08:17,09:17,10:22,10:52,11:22,11:52,12:22,12:52,13:22,13:52,14:22,14:48,15:16,15:46,16:14,16:44,17:14,17:44,18:14,18:44,19:17,19:47,20:37,21:37
