06:45,07:45,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:45,19:45,20:45
06:47,07:47,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:47,16:17,16:47,17:17,17:47,18:47,19:47,20:47
06:50,07:50,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:50,19:50,20:49
06:51,07:51,08:51,09:22,09:52,10:22,10:52,11:22,11:52,12:22,12:52,13:22,13:52,14:22,14:52,15:21,15:51,16:21,16:51,17:21,17:51,18:51,19:51,20:50
06:52,07:52,08:52,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:22,15:52,16:22,16:52,17:22,17:52,18:52,19:52,20:51
06:53,07:53,08:53,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:23,15:53,16:23,16:53,17:23,17:53,18:53,19:53,20:52
06:54,07:54,08:54,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:24,15:54,16:24,16:54,17:24,17:54,18:54,19:54,20:53
06:55,07:55,08:55,09:26,09:56,10:26,10:56,11:26,11:56,12:26,12:56,13:26,13:56,14:26,14:56,15:25,15:55,16:25,16:55,17:25,17:55,18:55,19:55,20:54
06:56,07:56,08:56,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:27,15:57,16:27,16:57,17:27,17:57,18:57,19:57,20:56
06:57,07:57,08:57,09:29,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:29,13:59,14:29,14:59,15:28,15:58,16:28,16:58,17:28,17:58,18:58,19:58,20:57
06:58,07:58,08:58,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:29,15:59,16:29,16:59,17:29,17:59,18:59,19:59,20:58
06:59,07:59,08:59,09:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:30,16:00,16:30,17:00,17:30,18:00,19:00,20:00,20:59
07:00,08:00,09:00,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:31,16:01,16:31,17:01,17:31,18:01,19:01,20:01,21:01
07:01,08:01,09:01,09:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:32,16:02,16:32,17:02,17:32,18:02,19:02,20:02,21:02
07:03,08:03,09:03,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:34,16:04,16:34,17:04,17:34,18:04,19:04,20:04,21:03
07:04,08:04,09:04,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,19:05,20:05,21:04
07:06,08:06,09:06,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,19:07,20:07,21:06
07:07,08:07,09:07,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,19:08,20:08,21:07
