07:12,08:12,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,19:12,20:12,21:12
07:14,08:14,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:47,16:17,16:47,17:17,17:47,18:17,19:14,20:14,21:14
07:15,08:15,09:18,09:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:17,14:47,15:18,15:48,16:18,16:48,17:18,17:48,18:17,19:14,20:15,21:15
07:17,08:17,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:19,19:16,20:17,21:17
07:18,08:18,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:20,19:17,20:18,21:18
07:19,08:19,09:22,09:52,10:22,10:52,11:22,11:52,12:22,12:52,13:22,13:52,14:22,14:52,15:22,15:52,16:22,16:52,17:22,17:52,18:21,19:18,20:19,21:19
07:20,08:20,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:53,18:22,19:19,20:20,21:20
07:21,08:21,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:23,19:20,20:21,21:21
07:23,08:23,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:26,14:56,15:26,15:56,16:26,16:56,17:26,17:56,18:25,19:22,20:23,21:23
07:24,08:24,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:27,14:57,15:27,15:57,16:27,16:57,17:27,17:57,18:26,19:23,20:24,21:24
07:25,08:25,09:29,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:29,13:59,14:28,14:58,15:28,15:58,16:28,16:58,17:28,17:58,18:27,19:24,20:25,21:25
07:26,08:26,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:29,14:59,15:29,15:59,16:29,16:59,17:29,17:59,18:28,19:25,20:26,21:26
07:27,08:27,09:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:29,19:26,20:27,21:27
07:28,08:28,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:31,15:01,15:31,16:01,16:31,17:01,17:31,18:01,18:30,19:27,20:28,21:28
07:30,08:30,09:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:33,15:03,15:32,16:02,16:32,17:02,17:32,18:02,18:31,19:28,20:30,21:30
07:33,08:33,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:36,15:06,15:35,16:05,16:35,17:05,17:35,18:05,18:34,19:31,20:32,21:32
07:36,08:36,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:39,15:09,15:38,16:08,16:38,17:08,17:38,18:08,18:37,19:34,20:35,21:35
