06:15,06:30,00:00,06:45,07:01,07:15,00:00,07:30,07:45,00:00,08:00,08:15,08:30,00:00,08:45,09:00,09:15,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:14,16:29,16:44,16:59,17:14,17:29,17:44,17:59,18:14,18:30,18:44,19:02,19:30,20:00,20:30,21:30
06:16,06:31,00:00,06:46,07:02,07:16,00:00,07:31,07:46,00:00,08:01,08:16,08:31,00:00,08:46,09:01,09:16,09:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:31,18:45,19:03,19:31,20:01,20:31,21:31
06:17,06:32,00:00,06:47,07:03,07:17,00:00,07:32,07:47,00:00,08:02,08:17,08:32,00:00,08:47,09:02,09:17,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:03,13:33,14:03,14:33,15:03,15:33,16:03,16:17,16:32,16:47,17:02,17:17,17:32,17:47,18:02,18:17,18:33,18:47,19:05,19:33,20:03,20:33,21:33
06:18,06:33,00:00,06:48,07:04,07:18,00:00,07:33,07:48,00:00,08:03,08:18,08:33,00:00,08:48,09:03,09:18,09:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:34,16:04,16:18,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:34,18:48,19:05,19:33,20:04,20:34,21:34
06:23,06:38,06:31,06:53,07:09,07:23,07:15,07:38,07:53,07:59,08:08,08:23,08:38,08:44,08:53,09:08,09:23,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:39,16:09,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:39,18:53,19:10,19:38,20:09,20:39,21:39
06:24,06:39,06:32,06:54,07:10,07:24,07:16,07:39,07:54,08:00,08:09,08:24,08:39,08:45,08:54,09:09,09:24,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:10,13:40,14:10,14:40,15:10,15:41,16:11,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:41,18:55,19:12,19:40,20:10,20:40,21:40
06:26,06:41,06:34,06:56,07:12,07:26,07:18,07:41,07:56,08:02,08:11,08:26,08:41,08:47,08:56,09:11,09:26,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:43,16:13,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:12,18:27,18:43,18:57,19:14,19:42,20:11,20:41,21:41
06:27,06:42,06:35,06:57,07:13,07:27,07:19,07:42,07:57,08:03,08:12,08:27,08:42,08:48,08:57,09:12,09:27,09:42,10:12,10:42,11:12,11:42,12:12,12:42,13:13,13:43,14:13,14:43,15:13,15:44,16:14,16:28,16:43,16:58,17:13,17:28,17:43,17:58,18:13,18:28,18:44,18:58,19:15,19:43,20:12,20:42,21:42
06:30,06:45,06:38,07:00,07:16,07:30,07:22,07:45,08:00,08:06,08:15,08:30,08:45,08:51,09:00,09:16,09:31,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:17,13:47,14:17,14:47,15:17,15:48,16:18,16:32,16:47,17:02,17:17,17:32,17:47,18:02,18:17,18:32,18:48,19:02,19:18,19:46,20:14,20:44,21:44
06:31,06:46,06:39,07:01,07:17,07:31,07:23,07:46,08:01,08:07,08:16,08:31,08:46,08:52,09:01,09:17,09:32,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:18,13:48,14:18,14:48,15:18,15:49,16:19,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:33,18:49,19:03,19:19,19:47,20:15,20:45,21:45
06:32,06:47,06:40,07:02,07:18,07:32,07:24,07:47,08:02,08:08,08:17,08:32,08:47,08:53,09:02,09:18,09:33,09:48,10:18,10:48,11:18,11:48,12:18,12:48,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:34,16:49,17:04,17:19,17:34,17:49,18:04,18:19,18:34,18:50,19:04,19:20,19:48,20:16,20:46,21:46
06:34,06:49,06:42,07:04,07:20,07:34,07:26,07:49,08:04,08:10,08:19,08:34,08:49,08:55,09:04,09:21,09:36,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:22,13:52,14:22,14:52,15:22,15:53,16:23,16:37,16:52,17:07,17:22,17:37,17:52,18:07,18:22,18:37,18:53,19:07,19:22,19:50,20:18,20:48,21:48
06:35,06:50,06:43,07:05,07:21,07:35,07:27,07:50,08:05,08:11,08:20,08:35,08:50,08:56,09:05,09:22,09:37,09:52,10:22,10:52,11:22,11:52,12:22,12:52,13:23,13:53,14:23,14:53,15:23,15:54,16:24,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:54,19:08,19:23,19:51,20:19,20:49,21:49
06:37,06:52,06:45,07:07,07:23,07:37,07:29,07:52,08:07,08:13,08:22,08:37,08:52,08:58,09:07,09:24,09:39,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:25,13:55,14:25,14:55,15:25,15:56,16:26,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:40,18:56,19:10,19:25,19:53,20:20,20:50,21:50
06:40,06:55,06:48,07:10,07:26,07:40,07:32,07:55,08:10,08:16,08:25,08:40,08:55,09:01,09:10,09:26,09:41,09:56,10:26,10:56,11:26,11:56,12:26,12:56,13:27,13:57,14:27,14:57,15:27,15:59,16:29,16:43,16:58,17:13,17:28,17:43,17:58,18:13,18:28,18:43,18:59,19:13,19:28,19:56,20:22,20:52,21:52
