05:45,05:55,06:05,06:15,06:25,06:35,06:45,06:55,07:05,07:15,07:25,07:35,07:45,07:55,08:05,08:15,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:25,14:45,15:00,15:22,15:33,15:44,15:55,16:06,16:17,16:28,16:39,16:50,17:01,17:12,17:23,17:34,17:45,17:56,18:07,18:18,18:29,18:40,18:51,19:12,19:35,20:19,21:19
05:46,05:56,06:06,06:16,06:26,06:36,06:46,06:56,07:06,07:16,07:26,07:36,07:46,07:56,08:06,08:16,08:36,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:07,14:27,14:47,15:02,15:24,15:35,15:46,15:57,16:08,16:19,16:30,16:41,16:52,17:03,17:14,17:25,17:36,17:47,17:58,18:08,18:19,18:30,18:41,18:52,19:13,19:36,20:20,21:20
05:47,05:57,06:07,06:17,06:27,06:37,06:47,06:57,07:07,07:17,07:27,07:37,07:47,07:57,08:07,08:17,08:37,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:29,14:49,15:03,15:25,15:36,15:47,15:58,16:09,16:20,16:31,16:42,16:53,17:04,17:15,17:26,17:37,17:48,17:59,18:09,18:20,18:31,18:42,18:53,19:14,19:37,20:21,21:21
05:48,05:58,06:08,06:18,06:28,06:38,06:48,06:58,07:08,07:18,07:28,07:38,07:48,07:58,08:08,08:18,08:38,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:30,14:50,15:04,15:26,15:37,15:48,15:59,16:10,16:21,16:32,16:43,16:54,17:05,17:16,17:27,17:38,17:49,18:00,18:10,18:21,18:32,18:43,18:54,19:15,19:38,20:22,21:22
05:50,06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:10,07:20,07:30,07:40,07:50,08:00,08:10,08:20,08:40,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:13,14:33,14:53,15:06,15:28,15:39,15:50,16:01,16:12,16:23,16:34,16:45,16:56,17:07,17:18,17:29,17:40,17:51,18:02,18:12,18:23,18:34,18:45,18:56,19:17,19:40,20:24,21:24
05:51,06:01,06:12,06:22,06:32,06:42,06:52,07:02,07:12,07:22,07:32,07:42,07:52,08:02,08:12,08:22,08:42,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:14,14:34,14:54,15:07,15:29,15:40,15:51,16:02,16:13,16:24,16:35,16:46,16:57,17:08,17:19,17:30,17:41,17:52,18:03,18:13,18:24,18:35,18:46,18:57,19:18,19:41,20:25,21:25
05:53,06:03,06:14,06:24,06:34,06:44,06:54,07:04,07:14,07:24,07:34,07:44,07:54,08:04,08:14,08:24,08:44,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:16,14:36,14:56,15:09,15:31,15:42,15:53,16:04,16:15,16:26,16:37,16:48,16:59,17:10,17:21,17:32,17:43,17:54,18:05,18:14,18:25,18:36,18:47,18:58,19:20,19:43,20:27,21:27
05:54,06:04,06:16,06:26,06:36,06:46,06:56,07:06,07:16,07:26,07:36,07:46,07:56,08:06,08:16,08:26,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:17,14:37,14:57,15:10,15:32,15:43,15:54,16:05,16:16,16:27,16:38,16:49,17:00,17:11,17:22,17:33,17:44,17:55,18:06,18:15,18:26,18:37,18:48,18:59,19:21,19:44,20:28,21:28
05:56,06:06,06:17,06:27,06:37,06:47,06:57,07:07,07:17,07:27,07:37,07:47,07:57,08:07,08:17,08:27,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:19,14:39,14:59,15:12,15:34,15:45,15:56,16:07,16:18,16:29,16:40,16:51,17:02,17:13,17:24,17:35,17:46,17:57,18:08,18:16,18:27,18:38,18:49,19:00,19:22,19:45,20:29,21:29
05:57,06:07,06:18,06:28,06:38,06:48,06:58,07:08,07:18,07:28,07:38,07:48,07:58,08:08,08:18,08:28,08:48,09:18,09:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:20,14:40,15:00,15:13,15:35,15:46,15:57,16:08,16:19,16:30,16:41,16:52,17:03,17:14,17:25,17:36,17:47,17:58,18:09,18:17,18:28,18:39,18:50,19:01,19:23,19:46,20:30,21:30
05:58,06:08,06:19,06:29,06:39,06:49,06:59,07:09,07:19,07:29,07:39,07:49,07:59,08:09,08:19,08:29,08:49,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:22,14:42,15:02,15:14,15:36,15:47,15:58,16:09,16:20,16:31,16:42,16:53,17:04,17:15,17:26,17:37,17:48,17:59,18:10,18:18,18:29,18:40,18:51,19:02,19:24,19:47,20:31,21:31
06:00,06:10,06:20,06:30,06:40,06:50,07:00,07:10,07:20,07:30,07:40,07:50,08:00,08:10,08:20,08:30,08:50,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:23,14:43,15:03,15:15,15:37,15:48,15:59,16:10,16:21,16:32,16:43,16:54,17:05,17:16,17:27,17:38,17:49,18:00,18:11,18:19,18:30,18:41,18:52,19:03,19:25,19:48,20:32,21:32
06:01,06:11,06:21,06:31,06:41,06:51,07:01,07:11,07:21,07:31,07:41,07:51,08:01,08:11,08:21,08:31,08:51,09:22,09:52,10:22,10:52,11:22,11:52,12:22,12:52,13:22,13:52,14:24,14:44,15:04,15:16,15:38,15:49,16:00,16:11,16:22,16:33,16:44,16:55,17:06,17:17,17:28,17:39,17:50,18:01,18:12,18:20,18:31,18:42,18:53,19:04,19:26,19:49,20:33,21:33
06:02,06:12,06:23,06:33,06:43,06:53,07:03,07:13,07:23,07:33,07:43,07:53,08:03,08:13,08:23,08:33,08:53,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:26,14:46,15:06,15:17,15:39,15:50,16:01,16:12,16:23,16:34,16:45,16:56,17:07,17:18,17:29,17:40,17:51,18:02,18:13,18:22,18:33,18:44,18:55,19:06,19:28,19:51,20:35,21:35
06:05,06:15,06:25,06:35,06:45,06:55,07:05,07:15,07:25,07:35,07:45,07:55,08:05,08:15,08:25,08:35,08:55,09:26,09:56,10:26,10:56,11:26,11:56,12:26,12:56,13:26,13:56,14:27,14:47,15:07,15:19,15:41,15:52,16:03,16:14,16:25,16:36,16:47,16:58,17:09,17:20,17:31,17:42,17:53,18:04,18:15,18:25,18:36,18:47,18:58,19:09,19:31,19:54,20:38,21:38
