07:00,07:40,08:20,09:00,09:40,10:20,11:00,11:40,12:20,13:00,13:40,14:20,15:00,15:40,16:20,17:00,17:40,18:20,19:00,19:45,20:45,21:45
07:02,07:42,08:22,09:02,09:42,10:22,11:02,11:42,12:22,13:02,13:42,14:22,15:02,15:42,16:22,17:02,17:42,18:22,19:02,19:47,20:47,21:47
07:03,07:43,08:23,09:03,09:43,10:23,11:03,11:43,12:23,13:03,13:43,14:23,15:03,15:43,16:23,17:03,17:43,18:23,19:04,19:49,20:49,21:49
07:04,07:44,08:24,09:04,09:44,10:24,11:04,11:44,12:24,13:04,13:44,14:24,15:04,15:45,16:25,17:05,17:45,18:24,19:05,19:50,20:50,21:50
07:05,07:45,08:25,09:05,09:45,10:25,11:05,11:45,12:25,13:05,13:45,14:25,15:05,15:46,16:26,17:06,17:46,18:25,19:06,19:51,20:51,21:51
07:06,07:46,08:26,09:06,09:46,10:26,11:06,11:46,12:26,13:06,13:46,14:26,15:06,15:48,16:28,17:08,17:48,18:27,19:07,19:52,20:52,21:52
07:07,07:47,08:27,09:07,09:47,10:27,11:07,11:47,12:27,13:07,13:47,14:27,15:07,15:49,16:29,17:09,17:49,18:28,19:08,19:53,20:53,21:53
07:09,07:49,08:29,09:09,09:49,10:29,11:09,11:49,12:29,13:09,13:49,14:29,15:09,15:51,16:31,17:11,17:51,18:30,19:10,19:55,20:55,21:55
07:10,07:50,08:30,09:10,09:50,10:30,11:10,11:50,12:30,13:10,13:50,14:30,15:10,15:52,16:32,17:12,17:52,18:31,19:11,19:56,20:56,21:56
07:11,07:51,08:31,09:11,09:51,10:31,11:11,11:51,12:31,13:11,13:51,14:31,15:11,15:53,16:33,17:13,17:53,18:32,19:12,19:57,20:57,21:57
07:12,07:52,08:32,09:12,09:52,10:32,11:12,11:52,12:32,13:12,13:52,14:32,15:12,15:54,16:34,17:14,17:54,18:33,19:13,19:58,20:58,21:58
07:14,07:54,08:34,09:14,09:54,10:34,11:14,11:54,12:34,13:14,13:54,14:34,15:14,15:56,16:36,17:16,17:56,18:35,19:15,20:00,21:00,22:00
07:15,07:55,08:35,09:15,09:55,10:35,11:15,11:55,12:35,13:15,13:55,14:35,15:15,15:57,16:37,17:17,17:57,18:36,19:16,20:01,21:01,22:01
07:16,07:56,08:36,09:17,09:57,10:37,11:17,11:57,12:37,13:17,13:57,14:37,15:17,15:58,16:38,17:18,17:58,18:37,19:17,20:02,21:02,22:02
07:19,07:59,08:39,09:19,09:59,10:39,11:19,11:59,12:39,13:19,13:59,14:39,15:19,15:59,16:39,17:19,17:59,18:39,19:18,20:03,21:03,22:03
