06:52,07:07,07:22,07:37,07:52,08:07,08:22,08:37,08:52,09:07,09:22,09:37,09:52,10:07,10:22,10:37,10:52,11:07,11:22,11:37,11:52,12:07,12:22,12:37,12:52,13:07,13:22,13:37,13:52,14:07,14:22,14:37,14:52,15:07,15:22,15:37,15:52,16:07,16:22,16:37,16:52,17:07,17:22,17:37,17:52,18:07,18:22,18:37,18:52,19:07,19:22,19:37,19:52,20:10,20:30,20:50,21:10,21:30,21:50,22:10,22:30,22:55
06:53,07:08,07:23,07:38,07:53,08:08,08:23,08:38,08:53,09:08,09:23,09:38,09:53,10:08,10:23,10:38,10:53,11:08,11:23,11:38,11:53,12:08,12:23,12:38,12:53,13:08,13:23,13:38,13:53,14:08,14:23,14:38,14:53,15:08,15:23,15:38,15:53,16:08,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:53,19:08,19:23,19:38,19:53,20:11,20:31,20:51,21:11,21:31,21:51,22:11,22:31,22:56
06:57,07:12,07:27,07:42,07:57,08:12,08:27,08:42,08:57,09:11,09:26,09:41,09:56,10:11,10:26,10:41,10:56,11:11,11:26,11:41,11:56,12:11,12:26,12:41,12:56,13:11,13:26,13:41,13:56,14:12,14:27,14:42,14:57,15:12,15:27,15:42,15:57,16:12,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:11,18:26,18:41,18:56,19:12,19:27,19:42,19:57,20:15,20:35,20:55,21:15,21:35,21:55,22:15,22:35,23:00
06:59,07:14,07:29,07:44,07:59,08:14,08:29,08:44,08:59,09:13,09:28,09:43,09:58,10:13,10:28,10:43,10:58,11:13,11:28,11:43,11:58,12:13,12:28,12:43,12:58,13:13,13:28,13:43,13:58,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:14,18:29,18:44,18:59,19:14,19:29,19:44,19:59,20:17,20:37,20:57,21:17,21:37,21:57,22:17,22:37,23:02
07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:14,09:29,09:44,09:59,10:14,10:29,10:44,10:59,11:14,11:29,11:44,11:59,12:14,12:29,12:44,12:59,13:14,13:29,13:44,13:59,14:16,14:31,14:46,15:01,15:16,15:31,15:46,16:01,16:16,16:31,16:46,17:01,17:16,17:31,17:46,18:01,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:18,20:38,20:58,21:18,21:38,21:58,22:18,22:38,23:03
07:01,07:16,07:31,07:46,08:01,08:16,08:31,08:46,09:01,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:17,14:32,14:47,15:02,15:17,15:32,15:47,16:02,16:17,16:32,16:47,17:02,17:17,17:32,17:47,18:02,18:16,18:31,18:46,19:01,19:16,19:31,19:46,20:01,20:19,20:39,20:59,21:19,21:39,21:59,22:19,22:39,23:04
07:02,07:17,07:32,07:47,08:02,08:17,08:32,08:47,09:02,09:16,09:31,09:46,10:01,10:16,10:31,10:46,11:01,11:16,11:31,11:46,12:01,12:16,12:31,12:46,13:01,13:16,13:31,13:46,14:01,14:19,14:34,14:49,15:04,15:18,15:33,15:48,16:03,16:18,16:33,16:48,17:03,17:18,17:33,17:48,18:03,18:18,18:33,18:48,19:03,19:17,19:32,19:47,20:02,20:20,20:40,21:00,21:20,21:40,22:00,22:20,22:40,23:05
07:03,07:18,07:33,07:48,08:03,08:18,08:33,08:48,09:03,09:17,09:32,09:47,10:02,10:17,10:32,10:47,11:02,11:17,11:32,11:47,12:02,12:17,12:32,12:47,13:02,13:17,13:32,13:47,14:02,14:21,14:36,14:51,15:06,15:19,15:34,15:49,16:04,16:19,16:34,16:49,17:04,17:19,17:34,17:49,18:04,18:19,18:34,18:49,19:04,19:18,19:33,19:48,20:03,20:21,20:41,21:01,21:21,21:41,22:01,22:21,22:41,23:06
07:04,07:19,07:34,07:49,08:04,08:19,08:34,08:49,09:04,09:19,09:34,09:49,10:04,10:19,10:34,10:49,11:04,11:19,11:34,11:49,12:04,12:19,12:34,12:49,13:04,13:19,13:34,13:49,14:04,14:22,14:37,14:52,15:07,15:21,15:36,15:51,16:06,16:21,16:36,16:51,17:06,17:21,17:36,17:51,18:06,18:20,18:35,18:50,19:05,19:19,19:34,19:49,20:04,20:22,20:42,21:02,21:22,21:42,22:02,22:22,22:42,23:07
07:04,07:19,07:34,07:49,08:04,08:19,08:34,08:49,09:04,09:20,09:35,09:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:05,13:20,13:35,13:50,14:05,14:23,14:38,14:53,15:08,15:22,15:37,15:52,16:07,16:22,16:37,16:52,17:07,17:22,17:37,17:52,18:07,18:21,18:36,18:51,19:06,19:20,19:35,19:50,20:05,20:23,20:43,21:03,21:23,21:43,22:03,22:23,22:43,23:08
