06:55,07:55,08:55,09:55,10:55,11:55,12:55,13:55,14:55,15:55,16:55,17:55,18:55,19:55
07:00,08:00,08:56,09:56,10:56,11:56,12:56,13:56,14:55,15:56,16:56,17:56,18:56,19:56
07:01,08:01,08:57,09:57,10:57,11:57,12:57,13:57,14:56,15:57,16:57,17:57,18:57,19:57
07:03,08:03,09:00,10:00,11:00,12:00,13:00,14:00,14:59,15:59,16:59,18:00,19:00,20:00
07:04,08:04,09:01,10:01,11:01,12:01,13:01,14:01,15:00,16:01,17:01,18:01,19:01,20:02
07:05,08:05,09:02,10:02,11:02,12:02,13:02,14:02,15:01,16:02,17:02,18:02,19:02,20:03
07:06,08:06,09:03,10:03,11:03,12:03,13:03,14:03,15:02,16:03,17:03,18:03,19:03,20:04
07:08,08:08,09:05,10:05,11:05,12:05,13:05,14:05,15:04,16:05,17:05,18:04,19:04,20:06
07:09,08:09,09:06,10:06,11:06,12:06,13:06,14:06,15:05,16:06,17:06,18:05,19:05,20:07
07:10,08:10,09:07,10:07,11:07,12:07,13:07,14:07,15:06,16:08,17:08,18:07,19:07,20:08
07:11,08:11,09:08,10:08,11:08,12:08,13:08,14:08,15:08,16:09,17:09,18:08,19:08,20:09
07:11,08:11,09:09,10:09,11:09,12:09,13:09,14:09,15:08,16:10,17:10,18:08,19:08,20:09
07:12,08:12,09:09,10:09,11:09,12:09,13:09,14:09,15:09,16:10,17:10,18:08,19:08,20:10
07:13,08:13,09:10,10:10,11:10,12:10,13:10,14:10,15:10,16:11,17:11,18:09,19:09,20:11
07:14,08:14,09:11,10:11,11:11,12:11,13:11,14:11,15:11,16:12,17:12,18:10,19:10,20:12
07:15,08:15,09:12,10:12,11:12,12:12,13:12,14:12,15:12,16:13,17:13,18:11,19:11,20:13
