07:20,08:20,09:17,10:17,11:17,12:17,13:17,14:17,15:18,16:18,17:18,18:16,19:16,20:16
07:21,08:21,09:18,10:18,11:18,12:18,13:18,14:18,15:19,16:19,17:19,18:17,19:17,20:17
07:22,08:22,09:19,10:19,11:19,12:19,13:19,14:19,15:20,16:20,17:20,18:18,19:18,20:18
07:23,08:23,09:20,10:20,11:20,12:20,13:20,14:20,15:21,16:21,17:21,18:19,19:19,20:19
07:24,08:24,09:21,10:21,11:21,12:21,13:21,14:21,15:22,16:22,17:22,18:20,19:20,20:19
07:26,08:26,09:23,10:23,11:23,12:23,13:23,14:22,15:23,16:23,17:23,18:21,19:21,20:21
07:28,08:28,09:25,10:25,11:25,12:25,13:25,14:24,15:24,16:24,17:24,18:23,19:23,20:22
07:29,08:29,09:26,10:26,11:26,12:26,13:26,14:25,15:25,16:25,17:25,18:24,19:24,20:23
07:31,08:31,09:28,10:28,11:28,12:28,13:28,14:27,15:27,16:27,17:27,18:26,19:26,20:24
07:32,08:32,09:29,10:29,11:29,12:29,13:29,14:28,15:28,16:28,17:28,18:27,19:27,20:25
07:33,08:33,09:30,10:30,11:30,12:30,13:30,14:29,15:29,16:29,17:29,18:28,19:28,20:26
07:37,08:37,09:33,10:33,11:33,12:33,13:33,14:32,15:33,16:33,17:33,18:31,19:31,20:30
07:39,08:39,09:34,10:34,11:34,12:34,13:34,14:33,15:34,16:34,17:34,18:32,19:32,20:31
07:40,08:40,09:35,10:35,11:35,12:35,13:35,14:34,15:35,16:35,17:35,18:33,19:33,20:32
07:42,08:42,09:37,10:37,11:37,12:37,13:37,14:36,15:37,16:37,17:37,18:35,19:35,20:34
