07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,19:58
07:05,08:05,09:01,10:01,11:01,12:01,13:01,14:01,15:01,16:01,17:01,18:01,19:01,19:59
07:06,08:06,09:02,10:02,11:02,12:02,13:02,14:02,15:02,16:02,17:02,18:02,19:02,20:00
07:08,08:08,09:05,10:05,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:05,19:05,20:03
07:09,08:09,09:06,10:06,11:06,12:06,13:06,14:06,15:07,16:07,17:07,18:06,19:06,20:05
07:10,08:10,09:07,10:07,11:07,12:07,13:07,14:07,15:08,16:08,17:08,18:07,19:07,20:06
07:11,08:11,09:08,10:08,11:08,12:08,13:08,14:08,15:09,16:09,17:09,18:08,19:08,20:07
07:13,08:13,09:10,10:10,11:10,12:10,13:10,14:10,15:11,16:11,17:11,18:09,19:09,20:09
07:14,08:14,09:11,10:11,11:11,12:11,13:11,14:11,15:12,16:12,17:12,18:10,19:10,20:10
07:15,08:15,09:12,10:12,11:12,12:12,13:12,14:12,15:13,16:13,17:13,18:12,19:12,20:11
07:16,08:16,09:13,10:13,11:13,12:13,13:13,14:13,15:14,16:14,17:14,18:13,19:13,20:12
07:16,08:16,09:14,10:14,11:14,12:14,13:14,14:14,15:14,16:14,17:14,18:13,19:13,20:12
07:17,08:17,09:14,10:14,11:14,12:14,13:14,14:14,15:15,16:15,17:15,18:13,19:13,20:13
07:18,08:18,09:15,10:15,11:15,12:15,13:15,14:15,15:16,16:16,17:16,18:14,19:14,20:14
07:19,08:19,09:16,10:16,11:16,12:16,13:16,14:16,15:17,16:17,17:17,18:15,19:15,20:15
07:20,08:20,09:17,10:17,11:17,12:17,13:17,14:17,15:18,16:18,17:18,18:16,19:16,20:16
