05:12,05:42,06:13,06:28,06:43,06:58,07:13,07:28,07:43,07:58,08:13,08:28,08:43,09:09,10:13,11:13,12:13,13:13,13:43,14:13,14:43,15:15,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:15,20:15
05:13,05:43,06:14,06:29,06:44,06:59,07:14,07:29,07:44,07:59,08:14,08:29,08:44,09:10,10:14,11:14,12:14,13:14,13:44,14:14,14:44,15:16,15:46,16:01,16:16,16:31,16:46,17:01,17:16,17:31,17:46,18:01,18:16,18:31,18:46,19:16,20:16
05:14,05:44,06:16,06:31,06:46,07:01,07:16,07:31,07:46,08:01,08:16,08:31,08:46,09:11,10:15,11:15,12:15,13:15,13:45,14:15,14:45,15:17,15:47,16:02,16:17,16:32,16:47,17:02,17:17,17:32,17:47,18:02,18:17,18:32,18:47,19:17,20:17
05:15,05:45,06:18,06:33,06:48,07:03,07:18,07:33,07:48,08:03,08:18,08:33,08:48,09:12,10:16,11:16,12:16,13:16,13:46,14:16,14:46,15:19,15:49,16:04,16:19,16:34,16:49,17:04,17:19,17:34,17:49,18:04,18:19,18:34,18:49,19:19,20:18
05:16,05:46,06:19,06:34,06:49,07:04,07:19,07:34,07:49,08:04,08:19,08:34,08:49,09:13,10:17,11:17,12:17,13:17,13:47,14:17,14:47,15:20,15:50,16:05,16:20,16:35,16:50,17:05,17:20,17:35,17:50,18:05,18:20,18:35,18:50,19:20,20:19
05:18,05:48,06:20,06:35,06:50,07:05,07:20,07:35,07:50,08:05,08:20,08:35,08:50,09:15,10:19,11:19,12:19,13:19,13:49,14:19,14:49,15:22,15:52,16:07,16:22,16:37,16:52,17:07,17:22,17:37,17:52,18:07,18:22,18:37,18:52,19:22,20:21
05:19,05:49,06:21,06:36,06:51,07:06,07:21,07:36,07:51,08:06,08:21,08:36,08:51,09:16,10:20,11:20,12:20,13:20,13:50,14:20,14:50,15:23,15:53,16:08,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:53,19:23,20:22
05:20,05:50,06:22,06:37,06:52,07:07,07:22,07:37,07:52,08:07,08:22,08:37,08:52,09:17,10:21,11:21,12:21,13:21,13:51,14:21,14:51,15:24,15:54,16:09,16:24,16:39,16:54,17:09,17:24,17:39,17:54,18:09,18:24,18:39,18:54,19:24,20:23
05:21,05:51,06:23,06:38,06:53,07:08,07:23,07:38,07:53,08:08,08:23,08:38,08:53,09:18,10:22,11:22,12:22,13:22,13:52,14:22,14:52,15:25,15:55,16:10,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:40,18:55,19:25,20:24
05:22,05:52,06:24,06:39,06:54,07:09,07:24,07:39,07:54,08:09,08:24,08:39,08:54,09:19,10:23,11:23,12:23,13:23,13:53,14:23,14:53,15:26,15:56,16:11,16:26,16:41,16:56,17:11,17:26,17:41,17:56,18:11,18:26,18:41,18:56,19:26,20:25
05:23,05:53,06:25,06:40,06:55,07:10,07:25,07:40,07:55,08:10,08:25,08:40,08:55,09:20,10:24,11:24,12:24,13:24,13:54,14:24,14:54,15:27,15:57,16:12,16:27,16:42,16:57,17:12,17:27,17:42,17:57,18:12,18:27,18:42,18:57,19:27,20:26
05:25,05:55,06:26,06:41,06:56,07:11,07:26,07:41,07:56,08:11,08:26,08:41,08:56,09:22,10:26,11:26,12:26,13:26,13:56,14:26,14:56,15:29,15:59,16:14,16:29,16:44,16:59,17:14,17:29,17:44,17:59,18:14,18:29,18:44,18:59,19:29,20:28
