06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,20:00,21:00,22:00
06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:04,18:34,19:05,20:05,21:05,22:05
06:37,07:07,07:37,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,18:37,19:07,20:07,21:07,22:07
06:41,07:11,07:41,08:11,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:12,14:42,15:12,15:42,16:12,16:42,17:12,17:42,18:12,18:42,19:11,20:11,21:11,22:11
06:42,07:12,07:42,08:12,08:42,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:13,14:43,15:14,15:44,16:14,16:44,17:14,17:44,18:13,18:43,19:12,20:12,21:12,22:12
06:43,07:13,07:43,08:13,08:43,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:14,14:44,15:15,15:45,16:15,16:45,17:15,17:45,18:14,18:44,19:13,20:13,21:13,22:13
06:44,07:14,07:44,08:14,08:44,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:16,14:46,15:17,15:47,16:17,16:47,17:17,17:47,18:16,18:46,19:15,20:15,21:15,22:15
06:45,07:15,07:45,08:15,08:45,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:17,14:47,15:18,15:48,16:18,16:48,17:18,17:48,18:18,18:48,19:16,20:16,21:16,22:16
06:46,07:16,07:46,08:16,08:46,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:18,14:48,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:17,20:17,21:17,22:17
06:47,07:17,07:47,08:17,08:47,09:18,09:48,10:18,10:48,11:18,11:48,12:18,12:48,13:18,13:48,14:19,14:49,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:18,20:18,21:18,22:18
06:48,07:18,07:48,08:18,08:48,09:19,09:49,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:19,20:19,21:19,22:19
06:49,07:19,07:49,08:19,08:49,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:22,14:52,15:22,15:52,16:22,16:52,17:22,17:52,18:22,18:52,19:20,20:20,21:20,22:20
06:50,07:20,07:50,08:20,08:50,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:53,18:23,18:53,19:21,20:21,21:21,22:21
06:52,07:22,07:52,08:22,08:52,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:23,20:23,21:23,22:23
06:53,07:23,07:53,08:23,08:53,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:27,14:57,15:27,15:57,16:27,16:57,17:27,17:57,18:26,18:56,19:24,20:24,21:24,22:24
06:57,07:27,07:57,08:27,08:57,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:28,20:28,21:28,22:28
