06:30,06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,20:00,21:00,22:00
06:36,06:56,07:16,07:36,07:56,08:16,08:36,08:56,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:14,14:34,14:54,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,20:05,21:05,22:05
06:38,06:58,07:18,07:38,07:58,08:18,08:38,08:58,09:17,09:37,09:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:18,18:38,18:58,19:17,20:07,21:07,22:07
06:42,07:02,07:22,07:42,08:02,08:22,08:42,09:02,09:21,09:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:21,16:41,17:01,17:21,17:41,18:01,18:24,18:44,19:04,19:21,20:11,21:11,22:11
06:43,07:03,07:23,07:43,08:03,08:23,08:43,09:03,09:22,09:42,10:02,10:22,10:42,11:02,11:22,11:42,12:02,12:22,12:42,13:02,13:22,13:42,14:02,14:22,14:42,15:02,15:22,15:42,16:02,16:22,16:42,17:02,17:22,17:42,18:02,18:25,18:45,19:05,19:22,20:12,21:12,22:12
06:44,07:04,07:24,07:44,08:04,08:24,08:44,09:04,09:23,09:43,10:03,10:23,10:43,11:03,11:23,11:43,12:03,12:23,12:43,13:03,13:23,13:43,14:03,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:26,18:46,19:06,19:23,20:13,21:13,22:13
06:46,07:06,07:26,07:46,08:06,08:26,08:46,09:06,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:28,18:48,19:08,19:25,20:15,21:15,22:15
06:47,07:07,07:27,07:47,08:07,08:27,08:47,09:07,09:26,09:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:29,18:49,19:09,19:26,20:16,21:16,22:16
06:48,07:08,07:28,07:48,08:08,08:28,08:48,09:08,09:27,09:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:07,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:30,18:50,19:10,19:27,20:17,21:17,22:17
06:49,07:09,07:29,07:49,08:09,08:29,08:49,09:09,09:28,09:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:31,18:51,19:11,19:28,20:18,21:18,22:18
06:50,07:10,07:30,07:50,08:10,08:30,08:50,09:10,09:29,09:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:32,18:52,19:12,19:29,20:19,21:19,22:19
06:51,07:11,07:31,07:51,08:11,08:31,08:51,09:11,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:33,18:53,19:13,19:30,20:20,21:20,22:20
06:52,07:12,07:32,07:52,08:12,08:32,08:52,09:12,09:31,09:51,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:34,18:54,19:14,19:31,20:21,21:21,22:21
06:55,07:15,07:35,07:55,08:15,08:35,08:55,09:15,09:34,09:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,13:14,13:34,13:54,14:14,14:33,14:53,15:13,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:36,18:56,19:16,19:33,20:23,21:23,22:23
06:56,07:16,07:36,07:56,08:16,08:36,08:56,09:16,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:34,14:54,15:14,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:37,18:57,19:17,19:34,20:24,21:24,22:24
07:00,07:20,07:40,08:00,08:20,08:40,09:00,09:20,09:38,09:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:38,20:28,21:28,22:28
