06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:20,09:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:30,20:00,20:30,21:00
06:02,06:32,07:02,07:32,08:02,08:32,09:01,09:21,09:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:02,15:22,15:42,16:02,16:22,16:42,17:02,17:22,17:42,18:01,18:21,18:41,19:01,19:31,20:01,20:31,21:01
06:05,06:35,07:05,07:35,08:05,08:35,09:04,09:24,09:44,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:04,18:24,18:44,19:04,19:33,20:03,20:33,21:03
06:06,06:36,07:06,07:36,08:06,08:36,09:06,09:26,09:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:05,18:25,18:45,19:05,19:34,20:04,20:34,21:04
06:07,06:37,07:07,07:37,08:07,08:37,09:07,09:27,09:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:27,13:47,14:07,14:27,14:47,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:35,20:05,20:35,21:05
06:07,06:37,07:07,07:37,08:07,08:37,09:08,09:28,09:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:35,20:05,20:35,21:05
06:08,06:38,07:08,07:38,08:08,08:38,09:09,09:29,09:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:36,20:06,20:36,21:06
06:09,06:39,07:09,07:39,08:09,08:39,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:47,19:07,19:37,20:07,20:37,21:07
06:10,06:40,07:10,07:40,08:10,08:40,09:11,09:31,09:51,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:08,19:38,20:08,20:38,21:08
06:14,06:44,07:14,07:44,08:14,08:44,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:12,19:42,20:12,20:42,21:12
